Year,Area,Item,Value
2007,Bangladesh,"Ammonia, anhydrous",39508.36
2008,Bangladesh,"Ammonia, anhydrous",62896.14
2009,Bangladesh,"Ammonia, anhydrous",18872.65
2010,Bangladesh,"Ammonia, anhydrous",16437.06
2011,Bangladesh,"Ammonia, anhydrous",23049.4
2012,Bangladesh,"Ammonia, anhydrous",36089.07
2013,Bangladesh,"Ammonia, anhydrous",7895.57
2014,Bangladesh,"Ammonia, anhydrous",9927.95
2015,Bangladesh,"Ammonia, anhydrous",11994.94
2016,Bangladesh,"Ammonia, anhydrous",12998.27
2017,Bangladesh,"Ammonia, anhydrous",6227.39
2003,Bangladesh,Ammonium nitrate (AN),423.01
2017,Bangladesh,Ammonium nitrate (AN),1.11
2003,Bangladesh,Ammonium sulphate,801.72
2016,Bangladesh,Ammonium sulphate,0.01
2002,Bangladesh,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,1481.74
2016,Bangladesh,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2017,Bangladesh,Diammonium phosphate (DAP),0.0
2004,Bangladesh,Fertilizers n.e.c.,0.39
2007,Bangladesh,Fertilizers n.e.c.,13.9
2008,Bangladesh,Fertilizers n.e.c.,27.32
2011,Bangladesh,Fertilizers n.e.c.,0.02
2012,Bangladesh,Fertilizers n.e.c.,0.48
2013,Bangladesh,Fertilizers n.e.c.,1.7
2014,Bangladesh,Fertilizers n.e.c.,1.58
2016,Bangladesh,Fertilizers n.e.c.,0.28
2017,Bangladesh,Fertilizers n.e.c.,0.06
2016,Bangladesh,Monoammonium phosphate (MAP),16.92
2017,Bangladesh,Monoammonium phosphate (MAP),0.41
2016,Bangladesh,NPK fertilizers,0.34
2017,Bangladesh,NPK fertilizers,0.14
2002,Bangladesh,"Other nitrogenous fertilizers, n.e.c.",844.7
2003,Bangladesh,"Other nitrogenous fertilizers, n.e.c.",5238.99
2007,Bangladesh,"Other nitrogenous fertilizers, n.e.c.",3.13
2010,Bangladesh,"Other nitrogenous fertilizers, n.e.c.",3.1
2016,Bangladesh,"Other nitrogenous fertilizers, n.e.c.",0.14
2017,Bangladesh,"Other nitrogenous fertilizers, n.e.c.",0.19
2016,Bangladesh,Other NP compounds,0.47
2017,Bangladesh,Other NP compounds,0.64
2013,Bangladesh,"Other potassic fertilizers, n.e.c.",0.2
2015,Bangladesh,"Other potassic fertilizers, n.e.c.",71.9
2017,Bangladesh,"Other potassic fertilizers, n.e.c.",1.39
2010,Bangladesh,Phosphate rock,1663.42
2016,Bangladesh,Phosphate rock,1.03
2017,Bangladesh,Phosphate rock,1.87
2013,Bangladesh,PK compounds,0.0
2007,Bangladesh,Potassium chloride (muriate of potash) (MOP),11.06
2016,Bangladesh,Potassium chloride (muriate of potash) (MOP),0.11
2017,Bangladesh,Potassium chloride (muriate of potash) (MOP),0.38
2016,Bangladesh,Potassium nitrate,1.09
2017,Bangladesh,Potassium nitrate,1.61
2016,Bangladesh,Potassium sulphate (sulphate of potash) (SOP),0.03
2017,Bangladesh,Potassium sulphate (sulphate of potash) (SOP),0.08
2016,Bangladesh,Sodium nitrate,0.05
2017,Bangladesh,Sodium nitrate,0.16
2010,Bangladesh,Superphosphates above 35%,3065.74
2011,Bangladesh,Superphosphates above 35%,1789.39
2016,Bangladesh,Superphosphates above 35%,0.09
2017,Bangladesh,Superphosphates above 35%,0.0
2002,Bangladesh,Urea,39214.63
2003,Bangladesh,Urea,53693.0
2004,Bangladesh,Urea,56174.26
2005,Bangladesh,Urea,95370.61
2006,Bangladesh,Urea,61134.66
2007,Bangladesh,Urea,70120.2
2008,Bangladesh,Urea,92407.81
2009,Bangladesh,Urea,65615.73
2010,Bangladesh,Urea,24381.9
2011,Bangladesh,Urea,41060.24
2012,Bangladesh,Urea,27.98
2013,Bangladesh,Urea,0.17
2016,Bangladesh,Urea,6095.26
2017,Bangladesh,Urea,0.48
2005,Bhutan,NPK fertilizers,0.17
2011,Bhutan,NPK fertilizers,2.03
2005,Bhutan,"Other phosphatic fertilizers, n.e.c.",6.97
2006,Bhutan,"Other phosphatic fertilizers, n.e.c.",18.82
2005,Bhutan,Urea,2.86
2002,Brunei Darussalam,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.16
2006,Brunei Darussalam,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,1.17
2011,Brunei Darussalam,Diammonium phosphate (DAP),96.81
2015,Brunei Darussalam,Fertilizers n.e.c.,209.01
2017,Brunei Darussalam,Fertilizers n.e.c.,0.01
2005,Brunei Darussalam,NPK fertilizers,1.24
2007,Brunei Darussalam,NPK fertilizers,13.03
2003,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",3.95
2006,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",49.76
2007,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",11.92
2008,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",4.62
2009,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",41.25
2010,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",45.87
2011,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",0.04
2012,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",7.96
2014,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",0.83
2015,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",1.79
