Year,Area,Item,Value
2013,Bhutan,Superphosphates above 35%,0.0
2014,Bhutan,Superphosphates above 35%,0.0
2011,Bhutan,"Superphosphates, other",0.0
2012,Bhutan,"Superphosphates, other",0.0
2013,Bhutan,"Superphosphates, other",0.0
2014,Bhutan,"Superphosphates, other",0.0
2011,Bhutan,Urea,0.0
2012,Bhutan,Urea,0.0
2013,Bhutan,Urea,0.0
2014,Bhutan,Urea,0.0
2011,Bhutan,Urea and ammonium nitrate solutions (UAN),0.0
2012,Bhutan,Urea and ammonium nitrate solutions (UAN),0.0
2013,Bhutan,Urea and ammonium nitrate solutions (UAN),0.0
2014,Bhutan,Urea and ammonium nitrate solutions (UAN),0.0
2009,Brunei Darussalam,Ammonium nitrate (AN),0.0
2011,Brunei Darussalam,Ammonium nitrate (AN),0.0
2012,Brunei Darussalam,Ammonium nitrate (AN),0.0
2013,Brunei Darussalam,Ammonium nitrate (AN),0.0
2014,Brunei Darussalam,Ammonium nitrate (AN),0.0
2009,Brunei Darussalam,Ammonium sulphate,0.0
2011,Brunei Darussalam,Ammonium sulphate,0.0
2012,Brunei Darussalam,Ammonium sulphate,0.0
2013,Brunei Darussalam,Ammonium sulphate,0.0
2014,Brunei Darussalam,Ammonium sulphate,0.0
2009,Brunei Darussalam,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2011,Brunei Darussalam,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2012,Brunei Darussalam,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2013,Brunei Darussalam,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2014,Brunei Darussalam,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2008,Brunei Darussalam,Diammonium phosphate (DAP),0.0
2009,Brunei Darussalam,Diammonium phosphate (DAP),0.0
2011,Brunei Darussalam,Diammonium phosphate (DAP),0.0
2012,Brunei Darussalam,Diammonium phosphate (DAP),0.0
2013,Brunei Darussalam,Diammonium phosphate (DAP),0.0
2014,Brunei Darussalam,Diammonium phosphate (DAP),0.0
2008,Brunei Darussalam,Monoammonium phosphate (MAP),0.0
2009,Brunei Darussalam,Monoammonium phosphate (MAP),0.0
2011,Brunei Darussalam,Monoammonium phosphate (MAP),0.0
2012,Brunei Darussalam,Monoammonium phosphate (MAP),0.0
2013,Brunei Darussalam,Monoammonium phosphate (MAP),0.0
2014,Brunei Darussalam,Monoammonium phosphate (MAP),0.0
2004,Brunei Darussalam,NPK fertilizers,0.0
2008,Brunei Darussalam,NPK fertilizers,0.0
2009,Brunei Darussalam,NPK fertilizers,0.0
2011,Brunei Darussalam,NPK fertilizers,0.0
2012,Brunei Darussalam,NPK fertilizers,0.0
2013,Brunei Darussalam,NPK fertilizers,0.0
2014,Brunei Darussalam,NPK fertilizers,0.0
2004,Brunei Darussalam,Other NP compounds,0.0
2008,Brunei Darussalam,Other NP compounds,0.0
2009,Brunei Darussalam,Other NP compounds,0.0
2011,Brunei Darussalam,Other NP compounds,0.0
2012,Brunei Darussalam,Other NP compounds,0.0
2013,Brunei Darussalam,Other NP compounds,0.0
2014,Brunei Darussalam,Other NP compounds,0.0
2008,Brunei Darussalam,PK compounds,0.0
2009,Brunei Darussalam,PK compounds,0.0
2011,Brunei Darussalam,PK compounds,0.0
2012,Brunei Darussalam,PK compounds,0.0
2013,Brunei Darussalam,PK compounds,0.0
2014,Brunei Darussalam,PK compounds,0.0
2009,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),0.0
2011,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),0.0
2012,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),0.0
2013,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),0.0
2014,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),0.0
2008,Brunei Darussalam,Potassium nitrate,0.0
2009,Brunei Darussalam,Potassium nitrate,0.0
2011,Brunei Darussalam,Potassium nitrate,0.0
2012,Brunei Darussalam,Potassium nitrate,0.0
2013,Brunei Darussalam,Potassium nitrate,0.0
2014,Brunei Darussalam,Potassium nitrate,0.0
2009,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),0.0
2011,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),0.0
2012,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),0.0
2013,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),0.0
2014,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),0.0
2009,Brunei Darussalam,Superphosphates above 35%,0.0
2011,Brunei Darussalam,Superphosphates above 35%,0.0
2012,Brunei Darussalam,Superphosphates above 35%,0.0
2013,Brunei Darussalam,Superphosphates above 35%,0.0
2014,Brunei Darussalam,Superphosphates above 35%,0.0
2009,Brunei Darussalam,"Superphosphates, other",0.0
2011,Brunei Darussalam,"Superphosphates, other",0.0
2012,Brunei Darussalam,"Superphosphates, other",0.0
2013,Brunei Darussalam,"Superphosphates, other",0.0
2014,Brunei Darussalam,"Superphosphates, other",0.0
2009,Brunei Darussalam,Urea,0.0
2011,Brunei Darussalam,Urea,0.0
2012,Brunei Darussalam,Urea,0.0
2013,Brunei Darussalam,Urea,0.0
2014,Brunei Darussalam,Urea,0.0
2009,Brunei Darussalam,Urea and ammonium nitrate solutions (UAN),0.0
2011,Brunei Darussalam,Urea and ammonium nitrate solutions (UAN),0.0
2012,Brunei Darussalam,Urea and ammonium nitrate solutions (UAN),0.0
2013,Brunei Darussalam,Urea and ammonium nitrate solutions (UAN),0.0
2014,Brunei Darussalam,Urea and ammonium nitrate solutions (UAN),0.0
2007,"China, Taiwan Province of",Ammonium sulphate,496472.0
2008,"China, Taiwan Province of",Ammonium sulphate,456271.0
2009,"China, Taiwan Province of",Ammonium sulphate,445372.0
2011,"China, Taiwan Province of",Ammonium sulphate,474325.0
2012,"China, Taiwan Province of",Ammonium sulphate,500702.0
2013,"China, Taiwan Province of",Ammonium sulphate,475200.0
2014,"China, Taiwan Province of",Ammonium sulphate,444103.0
2015,"China, Taiwan Province of",Ammonium sulphate,360392.0
2016,"China, Taiwan Province of",Ammonium sulphate,404811.0
2011,"China, Taiwan Province of",Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,126.0
2013,"China, Taiwan Province of",Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2014,"China, Taiwan Province of",Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2015,"China, Taiwan Province of",Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2016,"China, Taiwan Province of",Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2013,"China, Taiwan Province of",Potassium chloride (muriate of potash) (MOP),0.0
2014,"China, Taiwan Province of",Potassium chloride (muriate of potash) (MOP),0.0
2015,"China, Taiwan Province of",Potassium chloride (muriate of potash) (MOP),0.0
2016,"China, Taiwan Province of",Potassium chloride (muriate of potash) (MOP),0.0
2007,"China, Taiwan Province of",Superphosphates above 35%,186290.0
2008,"China, Taiwan Province of",Superphosphates above 35%,264616.0
2009,"China, Taiwan Province of",Superphosphates above 35%,160778.0
2011,"China, Taiwan Province of",Superphosphates above 35%,179274.0
2012,"China, Taiwan Province of",Superphosphates above 35%,169966.0
2013,"China, Taiwan Province of",Superphosphates above 35%,133976.0
2014,"China, Taiwan Province of",Superphosphates above 35%,120767.0
2015,"China, Taiwan Province of",Superphosphates above 35%,92308.0
2016,"China, Taiwan Province of",Superphosphates above 35%,92985.0
2013,"China, Taiwan Province of",Urea,0.0
2014,"China, Taiwan Province of",Urea,0.0
2015,"China, Taiwan Province of",Urea,0.0
2016,"China, Taiwan Province of",Urea,15.0
2002,India,Ammonium sulphate,544400.0
2003,India,Ammonium sulphate,600700.0
2004,India,Ammonium sulphate,615900.0
2005,India,Ammonium sulphate,616900.0
2006,India,Ammonium sulphate,634800.0
2007,India,Ammonium sulphate,483100.0
2008,India,Ammonium sulphate,554800.0
2009,India,Ammonium sulphate,620800.0
2010,India,Ammonium sulphate,637000.0
2011,India,Ammonium sulphate,595400.0
2012,India,Ammonium sulphate,573200.0
2013,India,Ammonium sulphate,624100.0
2014,India,Ammonium sulphate,581500.0
2015,India,Ammonium sulphate,560100.0
2016,India,Ammonium sulphate,632300.0
2017,India,Ammonium sulphate,688700.0
2002,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,173300.0
2003,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,141200.0
2004,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,184400.0
2005,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,172800.0
2006,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,144300.0
2007,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,134600.0
