Year,Area,Item,Value
2007,Bangladesh,"Ammonia, anhydrous",142273.44
2008,Bangladesh,"Ammonia, anhydrous",133120.93
2009,Bangladesh,"Ammonia, anhydrous",90750.0
2010,Bangladesh,"Ammonia, anhydrous",49425.98
2011,Bangladesh,"Ammonia, anhydrous",14680.5
2012,Bangladesh,"Ammonia, anhydrous",37120.0
2013,Bangladesh,"Ammonia, anhydrous",14950.0
2014,Bangladesh,"Ammonia, anhydrous",16504.9
2015,Bangladesh,"Ammonia, anhydrous",29650.0
2016,Bangladesh,"Ammonia, anhydrous",28802.6
2017,Bangladesh,"Ammonia, anhydrous",24499.9
2003,Bangladesh,Ammonium nitrate (AN),3000.0
2017,Bangladesh,Ammonium nitrate (AN),0.1
2003,Bangladesh,Ammonium sulphate,4500.0
2016,Bangladesh,Ammonium sulphate,0.06
2002,Bangladesh,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,13482.0
2016,Bangladesh,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2017,Bangladesh,Diammonium phosphate (DAP),0.01
2004,Bangladesh,Fertilizers n.e.c.,2.93
2007,Bangladesh,Fertilizers n.e.c.,2.0
2008,Bangladesh,Fertilizers n.e.c.,26.39
2011,Bangladesh,Fertilizers n.e.c.,0.02
2012,Bangladesh,Fertilizers n.e.c.,0.02
2013,Bangladesh,Fertilizers n.e.c.,0.44
2014,Bangladesh,Fertilizers n.e.c.,0.48
2016,Bangladesh,Fertilizers n.e.c.,0.01
2017,Bangladesh,Fertilizers n.e.c.,0.07
2016,Bangladesh,Monoammonium phosphate (MAP),25.37
2017,Bangladesh,Monoammonium phosphate (MAP),0.47
2016,Bangladesh,NPK fertilizers,0.29
2017,Bangladesh,NPK fertilizers,0.07
2002,Bangladesh,"Other nitrogenous fertilizers, n.e.c.",6538.0
2003,Bangladesh,"Other nitrogenous fertilizers, n.e.c.",29005.2
2007,Bangladesh,"Other nitrogenous fertilizers, n.e.c.",15.39
2010,Bangladesh,"Other nitrogenous fertilizers, n.e.c.",20.29
2016,Bangladesh,"Other nitrogenous fertilizers, n.e.c.",0.43
2017,Bangladesh,"Other nitrogenous fertilizers, n.e.c.",0.57
2016,Bangladesh,Other NP compounds,0.45
2017,Bangladesh,Other NP compounds,0.6
2013,Bangladesh,"Other potassic fertilizers, n.e.c.",1.0
2015,Bangladesh,"Other potassic fertilizers, n.e.c.",13.76
2017,Bangladesh,"Other potassic fertilizers, n.e.c.",0.74
2010,Bangladesh,Phosphate rock,15075.0
2016,Bangladesh,Phosphate rock,8.49
2017,Bangladesh,Phosphate rock,15.13
2013,Bangladesh,PK compounds,0.0
2007,Bangladesh,Potassium chloride (muriate of potash) (MOP),16.9
2016,Bangladesh,Potassium chloride (muriate of potash) (MOP),0.29
2017,Bangladesh,Potassium chloride (muriate of potash) (MOP),1.03
2016,Bangladesh,Potassium nitrate,1.2
2017,Bangladesh,Potassium nitrate,1.75
2016,Bangladesh,Potassium sulphate (sulphate of potash) (SOP),0.08
2017,Bangladesh,Potassium sulphate (sulphate of potash) (SOP),0.27
2016,Bangladesh,Sodium nitrate,0.08
2017,Bangladesh,Sodium nitrate,0.3
2010,Bangladesh,Superphosphates above 35%,9916.5
2011,Bangladesh,Superphosphates above 35%,575.0
2016,Bangladesh,Superphosphates above 35%,0.21
2017,Bangladesh,Superphosphates above 35%,0.0
2002,Bangladesh,Urea,145123.45
2003,Bangladesh,Urea,610464.22
2004,Bangladesh,Urea,396929.36
2005,Bangladesh,Urea,775977.46
2006,Bangladesh,Urea,518256.66
2007,Bangladesh,Urea,354453.5
2008,Bangladesh,Urea,303793.87
2009,Bangladesh,Urea,377761.85
2010,Bangladesh,Urea,100651.93
2011,Bangladesh,Urea,65800.0
2012,Bangladesh,Urea,0.01
2013,Bangladesh,Urea,0.01
2016,Bangladesh,Urea,31000.02
2017,Bangladesh,Urea,1.22
2005,Bhutan,NPK fertilizers,2.25
2011,Bhutan,NPK fertilizers,18.85
2005,Bhutan,"Other phosphatic fertilizers, n.e.c.",142.51
2006,Bhutan,"Other phosphatic fertilizers, n.e.c.",275.34
2005,Bhutan,Urea,1.8
2002,Brunei Darussalam,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2006,Brunei Darussalam,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,3.08
2011,Brunei Darussalam,Diammonium phosphate (DAP),0.98
2015,Brunei Darussalam,Fertilizers n.e.c.,245.0
2017,Brunei Darussalam,Fertilizers n.e.c.,0.0
2005,Brunei Darussalam,NPK fertilizers,3.3
2007,Brunei Darussalam,NPK fertilizers,37.65
2003,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",10.25
2006,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",16.72
2007,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",53.72
2008,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",20.6
2009,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",67.14
2010,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",67.21
2011,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",0.01
2012,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",0.11
2014,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",2.03
2015,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",6.43
2016,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",27.59
2008,Brunei Darussalam,"Other phosphatic fertilizers, n.e.c.",0.36
2002,Brunei Darussalam,PK compounds,0.0
2004,Brunei Darussalam,PK compounds,10.0
2011,Brunei Darussalam,PK compounds,66.0
2003,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),90.0
2008,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),268.93
2011,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),0.0
2012,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),0.01
2014,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),0.0
2015,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),249.98
2016,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),38.72
2017,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),119.98
2007,Brunei Darussalam,Potassium nitrate,0.15
2011,Brunei Darussalam,Potassium nitrate,0.0
2015,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),0.01
2014,Brunei Darussalam,Sodium nitrate,2.47
2010,Brunei Darussalam,Urea,387.0
2008,Cambodia,Diammonium phosphate (DAP),122.0
2009,Cambodia,Diammonium phosphate (DAP),450.0
2007,Cambodia,Fertilizers n.e.c.,848.0
2008,Cambodia,Fertilizers n.e.c.,302.5
2009,Cambodia,Fertilizers n.e.c.,705.05
2010,Cambodia,Fertilizers n.e.c.,3090.0
2011,Cambodia,Fertilizers n.e.c.,2310.0
2012,Cambodia,Fertilizers n.e.c.,300.0
2013,Cambodia,Fertilizers n.e.c.,420.0
2015,Cambodia,Fertilizers n.e.c.,0.2
2016,Cambodia,Fertilizers n.e.c.,18.23
2006,Cambodia,Monoammonium phosphate (MAP),31.0
2011,Cambodia,"Other nitrogenous fertilizers, n.e.c.",0.0
2002,Cambodia,Other NP compounds,225.0
2003,Cambodia,Other NP compounds,200.0
2007,Cambodia,Other NP compounds,169.0
2008,Cambodia,Other NP compounds,1318.0
2009,Cambodia,Other NP compounds,750.0
2005,Cambodia,"Other phosphatic fertilizers, n.e.c.",18.8
2010,Cambodia,Phosphate rock,3.56
2005,"China, Hong Kong SAR","Ammonia, anhydrous",0.51
2006,"China, Hong Kong SAR","Ammonia, anhydrous",2.27
2007,"China, Hong Kong SAR","Ammonia, anhydrous",1.2
2008,"China, Hong Kong SAR","Ammonia, anhydrous",6.98
2009,"China, Hong Kong SAR","Ammonia, anhydrous",56.5
2010,"China, Hong Kong SAR","Ammonia, anhydrous",384.71
2011,"China, Hong Kong SAR","Ammonia, anhydrous",341.56
2012,"China, Hong Kong SAR","Ammonia, anhydrous",143.35
2013,"China, Hong Kong SAR","Ammonia, anhydrous",1555.14
2014,"China, Hong Kong SAR","Ammonia, anhydrous",157.02
2015,"China, Hong Kong SAR","Ammonia, anhydrous",76.6
2016,"China, Hong Kong SAR","Ammonia, anhydrous",104.83
2017,"China, Hong Kong SAR","Ammonia, anhydrous",52.2
2002,"China, Hong Kong SAR",Ammonium nitrate (AN),3342.5
2003,"China, Hong Kong SAR",Ammonium nitrate (AN),6155.13
2004,"China, Hong Kong SAR",Ammonium nitrate (AN),4283.35
2005,"China, Hong Kong SAR",Ammonium nitrate (AN),1896.95
2008,"China, Hong Kong SAR",Ammonium nitrate (AN),21.05
2011,"China, Hong Kong SAR",Ammonium nitrate (AN),7.66
2012,"China, Hong Kong SAR",Ammonium nitrate (AN),33.26
2013,"China, Hong Kong SAR",Ammonium nitrate (AN),28.78
2014,"China, Hong Kong SAR",Ammonium nitrate (AN),1.3
2015,"China, Hong Kong SAR",Ammonium nitrate (AN),15.54
2002,"China, Hong Kong SAR",Ammonium sulphate,3.75
2003,"China, Hong Kong SAR",Ammonium sulphate,3.89
2004,"China, Hong Kong SAR",Ammonium sulphate,9.05
2005,"China, Hong Kong SAR",Ammonium sulphate,13.09
2006,"China, Hong Kong SAR",Ammonium sulphate,2.43
2008,"China, Hong Kong SAR",Ammonium sulphate,0.12
2009,"China, Hong Kong SAR",Ammonium sulphate,0.56
2010,"China, Hong Kong SAR",Ammonium sulphate,1.5
2011,"China, Hong Kong SAR",Ammonium sulphate,1.9
2012,"China, Hong Kong SAR",Ammonium sulphate,206.03
2013,"China, Hong Kong SAR",Ammonium sulphate,404.99
2014,"China, Hong Kong SAR",Ammonium sulphate,428.82
2015,"China, Hong Kong SAR",Ammonium sulphate,480.21
2016,"China, Hong Kong SAR",Ammonium sulphate,348.6
2017,"China, Hong Kong SAR",Ammonium sulphate,450.1
2013,"China, Hong Kong SAR",Diammonium phosphate (DAP),21.76
2014,"China, Hong Kong SAR",Diammonium phosphate (DAP),1.11
2015,"China, Hong Kong SAR",Diammonium phosphate (DAP),1.5
2016,"China, Hong Kong SAR",Diammonium phosphate (DAP),0.95
2017,"China, Hong Kong SAR",Diammonium phosphate (DAP),1.16
2002,"China, Hong Kong SAR",Fertilizers n.e.c.,151.35
2003,"China, Hong Kong SAR",Fertilizers n.e.c.,180.78
2004,"China, Hong Kong SAR",Fertilizers n.e.c.,175.37
2005,"China, Hong Kong SAR",Fertilizers n.e.c.,100.12
2006,"China, Hong Kong SAR",Fertilizers n.e.c.,66.92
2007,"China, Hong Kong SAR",Fertilizers n.e.c.,6.41
2008,"China, Hong Kong SAR",Fertilizers n.e.c.,53.81
2009,"China, Hong Kong SAR",Fertilizers n.e.c.,1413.31
2010,"China, Hong Kong SAR",Fertilizers n.e.c.,228.71
2011,"China, Hong Kong SAR",Fertilizers n.e.c.,272.44
2012,"China, Hong Kong SAR",Fertilizers n.e.c.,80.53
2013,"China, Hong Kong SAR",Fertilizers n.e.c.,317.81
2014,"China, Hong Kong SAR",Fertilizers n.e.c.,42.15
2015,"China, Hong Kong SAR",Fertilizers n.e.c.,35.58
2016,"China, Hong Kong SAR",Fertilizers n.e.c.,177.74
2017,"China, Hong Kong SAR",Fertilizers n.e.c.,142.24
2002,"China, Hong Kong SAR",Monoammonium phosphate (MAP),2.47
2003,"China, Hong Kong SAR",Monoammonium phosphate (MAP),0.75
2006,"China, Hong Kong SAR",Monoammonium phosphate (MAP),6.15
2009,"China, Hong Kong SAR",Monoammonium phosphate (MAP),235.35
2013,"China, Hong Kong SAR",Monoammonium phosphate (MAP),368.5
2015,"China, Hong Kong SAR",Monoammonium phosphate (MAP),50.0
2002,"China, Hong Kong SAR",NPK fertilizers,322.37
2003,"China, Hong Kong SAR",NPK fertilizers,426.44
2004,"China, Hong Kong SAR",NPK fertilizers,562.02
2005,"China, Hong Kong SAR",NPK fertilizers,1181.09
2006,"China, Hong Kong SAR",NPK fertilizers,468.29
2007,"China, Hong Kong SAR",NPK fertilizers,136.15
2008,"China, Hong Kong SAR",NPK fertilizers,3286.84
2009,"China, Hong Kong SAR",NPK fertilizers,3071.54
2010,"China, Hong Kong SAR",NPK fertilizers,94.29
2011,"China, Hong Kong SAR",NPK fertilizers,179.54
2012,"China, Hong Kong SAR",NPK fertilizers,275.93
2013,"China, Hong Kong SAR",NPK fertilizers,418.88
2014,"China, Hong Kong SAR",NPK fertilizers,421.69
2015,"China, Hong Kong SAR",NPK fertilizers,170.79
2016,"China, Hong Kong SAR",NPK fertilizers,79.1
2017,"China, Hong Kong SAR",NPK fertilizers,51.93
2002,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",2890.74
2003,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",2058.18
2004,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",1868.3
2005,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",1318.2
2006,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",1585.44
2007,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",1480.88
2008,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",905.08
2009,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",448.34
2010,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",408.88
2011,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",239.21
2012,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",210.95
2013,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",281.83
2014,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",310.37
2015,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",886.61
2016,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",140.61
2017,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",430.87
2009,"China, Hong Kong SAR",Other NP compounds,486.86
2011,"China, Hong Kong SAR",Other NP compounds,0.6
2014,"China, Hong Kong SAR",Other NP compounds,20.12
2015,"China, Hong Kong SAR",Other NP compounds,181.08
2011,"China, Hong Kong SAR","Other phosphatic fertilizers, n.e.c.",74.4
2016,"China, Hong Kong SAR","Other potassic fertilizers, n.e.c.",0.0
2017,"China, Hong Kong SAR","Other potassic fertilizers, n.e.c.",10.1
2002,"China, Hong Kong SAR",Phosphate rock,0.08
2003,"China, Hong Kong SAR",Phosphate rock,11.99
2004,"China, Hong Kong SAR",Phosphate rock,4.0
2005,"China, Hong Kong SAR",Phosphate rock,1.98
2006,"China, Hong Kong SAR",Phosphate rock,0.4
2008,"China, Hong Kong SAR",Phosphate rock,0.07
2012,"China, Hong Kong SAR",Phosphate rock,34.2
2017,"China, Hong Kong SAR",Phosphate rock,48.15
2002,"China, Hong Kong SAR",PK compounds,2.5
2003,"China, Hong Kong SAR",PK compounds,2.57
2004,"China, Hong Kong SAR",PK compounds,2.49
2005,"China, Hong Kong SAR",PK compounds,2.69
2006,"China, Hong Kong SAR",PK compounds,2.66
2008,"China, Hong Kong SAR",PK compounds,2.5
2010,"China, Hong Kong SAR",PK compounds,2.66
2013,"China, Hong Kong SAR",PK compounds,4.11
2014,"China, Hong Kong SAR",PK compounds,6.86
2015,"China, Hong Kong SAR",PK compounds,6.21
2016,"China, Hong Kong SAR",PK compounds,29.76
2017,"China, Hong Kong SAR",PK compounds,10.89
2002,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),21.49
2003,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),22.89
2004,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),4.65
2005,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),0.1
2006,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),0.28
2007,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),4.39
2011,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),48.5
2012,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),125.94
2013,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),805.05
2014,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),221.96
2015,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),151.01
2016,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),147.55
2017,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),27.6
2002,"China, Hong Kong SAR",Potassium nitrate,89.45
2003,"China, Hong Kong SAR",Potassium nitrate,147.1
2004,"China, Hong Kong SAR",Potassium nitrate,129.03
2005,"China, Hong Kong SAR",Potassium nitrate,110.99
2006,"China, Hong Kong SAR",Potassium nitrate,201.35
2007,"China, Hong Kong SAR",Potassium nitrate,188.52
2008,"China, Hong Kong SAR",Potassium nitrate,127.22
2009,"China, Hong Kong SAR",Potassium nitrate,151.81
2010,"China, Hong Kong SAR",Potassium nitrate,203.7
2011,"China, Hong Kong SAR",Potassium nitrate,108.58
2012,"China, Hong Kong SAR",Potassium nitrate,125.14
2013,"China, Hong Kong SAR",Potassium nitrate,923.14
2014,"China, Hong Kong SAR",Potassium nitrate,161.59
2015,"China, Hong Kong SAR",Potassium nitrate,266.85
2016,"China, Hong Kong SAR",Potassium nitrate,10.1
2017,"China, Hong Kong SAR",Potassium nitrate,33.06
2005,"China, Hong Kong SAR",Potassium sulphate (sulphate of potash) (SOP),7.62
2006,"China, Hong Kong SAR",Potassium sulphate (sulphate of potash) (SOP),11.96
2007,"China, Hong Kong SAR",Potassium sulphate (sulphate of potash) (SOP),0.3
2008,"China, Hong Kong SAR",Potassium sulphate (sulphate of potash) (SOP),0.36
2009,"China, Hong Kong SAR",Potassium sulphate (sulphate of potash) (SOP),0.3
2002,"China, Hong Kong SAR",Sodium nitrate,716.17
2003,"China, Hong Kong SAR",Sodium nitrate,602.18
2004,"China, Hong Kong SAR",Sodium nitrate,601.48
2005,"China, Hong Kong SAR",Sodium nitrate,297.08
2006,"China, Hong Kong SAR",Sodium nitrate,462.8
2007,"China, Hong Kong SAR",Sodium nitrate,155.98
2008,"China, Hong Kong SAR",Sodium nitrate,210.0
2009,"China, Hong Kong SAR",Sodium nitrate,169.5
2010,"China, Hong Kong SAR",Sodium nitrate,45.0
2013,"China, Hong Kong SAR",Sodium nitrate,49.49
2014,"China, Hong Kong SAR",Sodium nitrate,125.68
2015,"China, Hong Kong SAR",Sodium nitrate,84.0
2016,"China, Hong Kong SAR",Sodium nitrate,21.0
2017,"China, Hong Kong SAR",Sodium nitrate,1.68
2013,"China, Hong Kong SAR",Superphosphates above 35%,122.19
2016,"China, Hong Kong SAR",Superphosphates above 35%,0.0
2017,"China, Hong Kong SAR",Superphosphates above 35%,3.56
2002,"China, Hong Kong SAR",Urea,113.7
2003,"China, Hong Kong SAR",Urea,55.18
2004,"China, Hong Kong SAR",Urea,270.79
2005,"China, Hong Kong SAR",Urea,57.05
2006,"China, Hong Kong SAR",Urea,1.95
2007,"China, Hong Kong SAR",Urea,18.98
2008,"China, Hong Kong SAR",Urea,6.52
2009,"China, Hong Kong SAR",Urea,4.78
2010,"China, Hong Kong SAR",Urea,2.0
2011,"China, Hong Kong SAR",Urea,2.0
2012,"China, Hong Kong SAR",Urea,204.5
2013,"China, Hong Kong SAR",Urea,426.6
2014,"China, Hong Kong SAR",Urea,381.64
2015,"China, Hong Kong SAR",Urea,266.51
2016,"China, Hong Kong SAR",Urea,154.66
2017,"China, Hong Kong SAR",Urea,448.67
2002,"China, Hong Kong SAR",Urea and ammonium nitrate solutions (UAN),0.06
2007,"China, Hong Kong SAR",Urea and ammonium nitrate solutions (UAN),0.3
2012,"China, Hong Kong SAR",Urea and ammonium nitrate solutions (UAN),50.0
2008,"China, Macao SAR",Ammonium sulphate,0.49
2009,"China, Macao SAR",Fertilizers n.e.c.,2.45
2006,"China, Macao SAR",Phosphate rock,1.5
2002,"China, mainland","Ammonia, anhydrous",60.14
2003,"China, mainland","Ammonia, anhydrous",123.48
2004,"China, mainland","Ammonia, anhydrous",55.15
2005,"China, mainland","Ammonia, anhydrous",144.04
2006,"China, mainland","Ammonia, anhydrous",90.55
2007,"China, mainland","Ammonia, anhydrous",79.79
2008,"China, mainland","Ammonia, anhydrous",75.52
2009,"China, mainland","Ammonia, anhydrous",419.69
2010,"China, mainland","Ammonia, anhydrous",1350.41
2011,"China, mainland","Ammonia, anhydrous",556.01
2012,"China, mainland","Ammonia, anhydrous",7601.37
2013,"China, mainland","Ammonia, anhydrous",41170.42
2014,"China, mainland","Ammonia, anhydrous",14410.25
2015,"China, mainland","Ammonia, anhydrous",32622.5
2016,"China, mainland","Ammonia, anhydrous",6184.41
