Year,Area,Item,Value
2006,Bahrain,Urea,28523.0
2007,Bahrain,Urea,834.0
2008,Bahrain,Urea,3223.0
2009,Bahrain,Urea,2573.0
2010,Bahrain,Urea,4923.0
2011,Bahrain,Urea,1000.0
2003,Bangladesh,Ammonium sulphate,7000.0
2004,Bangladesh,Ammonium sulphate,5750.0
2005,Bangladesh,Ammonium sulphate,7750.0
2006,Bangladesh,Ammonium sulphate,4910.0
2002,Bangladesh,Diammonium phosphate (DAP),251930.0
2003,Bangladesh,Diammonium phosphate (DAP),118470.0
2004,Bangladesh,Diammonium phosphate (DAP),101000.0
2005,Bangladesh,Diammonium phosphate (DAP),175950.0
2006,Bangladesh,Diammonium phosphate (DAP),125190.0
2008,Bangladesh,Diammonium phosphate (DAP),89000.0
2009,Bangladesh,Diammonium phosphate (DAP),36000.0
2010,Bangladesh,Diammonium phosphate (DAP),181000.0
2011,Bangladesh,Diammonium phosphate (DAP),305000.0
2012,Bangladesh,Diammonium phosphate (DAP),409000.0
2013,Bangladesh,Diammonium phosphate (DAP),434000.0
2014,Bangladesh,Diammonium phosphate (DAP),543000.0
2015,Bangladesh,Diammonium phosphate (DAP),597000.0
2016,Bangladesh,Diammonium phosphate (DAP),658000.0
2017,Bangladesh,Diammonium phosphate (DAP),689000.0
2003,Bangladesh,NPK fertilizers,30000.0
2004,Bangladesh,NPK fertilizers,57000.0
2005,Bangladesh,NPK fertilizers,100000.0
2006,Bangladesh,NPK fertilizers,125000.0
2009,Bangladesh,NPK fertilizers,36929.0
2010,Bangladesh,NPK fertilizers,32709.0
2011,Bangladesh,NPK fertilizers,40762.0
2002,Bangladesh,PK compounds,19435.0
2002,Bangladesh,Potassium chloride (muriate of potash) (MOP),263185.0
2003,Bangladesh,Potassium chloride (muriate of potash) (MOP),278450.0
2004,Bangladesh,Potassium chloride (muriate of potash) (MOP),271500.0
2005,Bangladesh,Potassium chloride (muriate of potash) (MOP),407250.0
2006,Bangladesh,Potassium chloride (muriate of potash) (MOP),208060.0
2008,Bangladesh,Potassium chloride (muriate of potash) (MOP),274000.0
2009,Bangladesh,Potassium chloride (muriate of potash) (MOP),234000.0
2010,Bangladesh,Potassium chloride (muriate of potash) (MOP),319000.0
2011,Bangladesh,Potassium chloride (muriate of potash) (MOP),482000.0
2012,Bangladesh,Potassium chloride (muriate of potash) (MOP),613000.0
2013,Bangladesh,Potassium chloride (muriate of potash) (MOP),571000.0
2014,Bangladesh,Potassium chloride (muriate of potash) (MOP),577000.0
2015,Bangladesh,Potassium chloride (muriate of potash) (MOP),640000.0
2016,Bangladesh,Potassium chloride (muriate of potash) (MOP),727000.0
2017,Bangladesh,Potassium chloride (muriate of potash) (MOP),789000.0
2002,Bangladesh,Superphosphates above 35%,381630.0
2003,Bangladesh,Superphosphates above 35%,392800.0
2004,Bangladesh,Superphosphates above 35%,413458.0
2005,Bangladesh,Superphosphates above 35%,394905.0
2006,Bangladesh,Superphosphates above 35%,430320.0
2008,Bangladesh,Superphosphates above 35%,140627.0
2009,Bangladesh,Superphosphates above 35%,322000.0
2010,Bangladesh,Superphosphates above 35%,452000.0
2011,Bangladesh,Superphosphates above 35%,564000.0
2013,Bangladesh,Superphosphates above 35%,654000.0
2014,Bangladesh,Superphosphates above 35%,685000.0
2015,Bangladesh,Superphosphates above 35%,722000.0
2016,Bangladesh,Superphosphates above 35%,730000.0
2017,Bangladesh,Superphosphates above 35%,707000.0
2002,Bangladesh,"Superphosphates, other",135300.0
2003,Bangladesh,"Superphosphates, other",135360.0
2004,Bangladesh,"Superphosphates, other",153542.0
2005,Bangladesh,"Superphosphates, other",272885.0
2006,Bangladesh,"Superphosphates, other",135140.0
2008,Bangladesh,"Superphosphates, other",382000.0
2002,Bangladesh,Urea,2247210.0
2003,Bangladesh,Urea,2008794.0
2004,Bangladesh,Urea,2013264.0
2005,Bangladesh,Urea,2054409.0
2006,Bangladesh,Urea,2296905.0
2008,Bangladesh,Urea,2763000.0
2009,Bangladesh,Urea,2487216.0
2010,Bangladesh,Urea,2455052.0
2011,Bangladesh,Urea,2652000.0
2012,Bangladesh,Urea,2296000.0
2013,Bangladesh,Urea,2247000.0
2014,Bangladesh,Urea,2462000.0
2015,Bangladesh,Urea,2638000.0
2016,Bangladesh,Urea,2291000.0
2017,Bangladesh,Urea,2427000.0
2002,Bhutan,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,20.0
2003,Bhutan,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,10.0
2004,Bhutan,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,3.0
2006,Bhutan,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,4.0
2012,Bhutan,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2013,Bhutan,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.2
2014,Bhutan,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.2
2015,Bhutan,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.08
2016,Bhutan,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.5
2002,Bhutan,Diammonium phosphate (DAP),12.0
2004,Bhutan,Diammonium phosphate (DAP),35.0
2005,Bhutan,Diammonium phosphate (DAP),8.0
2006,Bhutan,Diammonium phosphate (DAP),1.0
2007,Bhutan,Diammonium phosphate (DAP),2.0
2008,Bhutan,Diammonium phosphate (DAP),4.0
2012,Bhutan,Diammonium phosphate (DAP),0.0
2013,Bhutan,Diammonium phosphate (DAP),1.15
2014,Bhutan,Diammonium phosphate (DAP),0.25
2015,Bhutan,Diammonium phosphate (DAP),0.25
2016,Bhutan,Diammonium phosphate (DAP),0.45
2002,Bhutan,NPK fertilizers,704.0
2003,Bhutan,NPK fertilizers,750.0
2004,Bhutan,NPK fertilizers,805.0
2008,Bhutan,NPK fertilizers,931.0
2010,Bhutan,NPK fertilizers,838.0
2011,Bhutan,NPK fertilizers,1147.0
2012,Bhutan,NPK fertilizers,703.97
2013,Bhutan,NPK fertilizers,1222.97
2014,Bhutan,NPK fertilizers,1429.75
2015,Bhutan,NPK fertilizers,1510.6
2016,Bhutan,NPK fertilizers,1416.34
2002,Bhutan,Potassium chloride (muriate of potash) (MOP),29.0
2003,Bhutan,Potassium chloride (muriate of potash) (MOP),26.0
2004,Bhutan,Potassium chloride (muriate of potash) (MOP),23.0
2005,Bhutan,Potassium chloride (muriate of potash) (MOP),15.0
2007,Bhutan,Potassium chloride (muriate of potash) (MOP),29.0
2008,Bhutan,Potassium chloride (muriate of potash) (MOP),20.0
2010,Bhutan,Potassium chloride (muriate of potash) (MOP),10.0
2011,Bhutan,Potassium chloride (muriate of potash) (MOP),29.0
2012,Bhutan,Potassium chloride (muriate of potash) (MOP),28.8
2013,Bhutan,Potassium chloride (muriate of potash) (MOP),17.65
2014,Bhutan,Potassium chloride (muriate of potash) (MOP),18.3
2015,Bhutan,Potassium chloride (muriate of potash) (MOP),15.5
2016,Bhutan,Potassium chloride (muriate of potash) (MOP),12.95
2002,Bhutan,"Superphosphates, other",414.0
2003,Bhutan,"Superphosphates, other",440.0
2004,Bhutan,"Superphosphates, other",467.0
2005,Bhutan,"Superphosphates, other",451.0
2006,Bhutan,"Superphosphates, other",815.0
2007,Bhutan,"Superphosphates, other",602.0
2008,Bhutan,"Superphosphates, other",614.0
2010,Bhutan,"Superphosphates, other",412.0
2011,Bhutan,"Superphosphates, other",636.0
2012,Bhutan,"Superphosphates, other",414.4
2013,Bhutan,"Superphosphates, other",510.76
2014,Bhutan,"Superphosphates, other",588.55
2015,Bhutan,"Superphosphates, other",600.4
2016,Bhutan,"Superphosphates, other",629.8
2002,Bhutan,Urea,1458.0
2003,Bhutan,Urea,1460.0
2004,Bhutan,Urea,1500.0
2005,Bhutan,Urea,1611.0
2006,Bhutan,Urea,1402.0
2007,Bhutan,Urea,1399.0
2008,Bhutan,Urea,1377.0
2010,Bhutan,Urea,1219.0
2011,Bhutan,Urea,1462.0
2012,Bhutan,Urea,1457.75
2013,Bhutan,Urea,1248.9
2014,Bhutan,Urea,1465.57
2015,Bhutan,Urea,1508.03
2016,Bhutan,Urea,1258.74
2008,Brunei Darussalam,Ammonium sulphate,1.1
2010,Brunei Darussalam,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.5
2005,Brunei Darussalam,Diammonium phosphate (DAP),3.0
2007,Brunei Darussalam,Diammonium phosphate (DAP),1.0
2009,Brunei Darussalam,Diammonium phosphate (DAP),1.0
2010,Brunei Darussalam,Diammonium phosphate (DAP),1.0
2014,Brunei Darussalam,Diammonium phosphate (DAP),0.0
2015,Brunei Darussalam,Diammonium phosphate (DAP),0.0
2012,Brunei Darussalam,Fertilizers n.e.c.,213.0
2013,Brunei Darussalam,Fertilizers n.e.c.,266.0
2014,Brunei Darussalam,Fertilizers n.e.c.,257.0
2015,Brunei Darussalam,Fertilizers n.e.c.,282.0
2006,Brunei Darussalam,Monoammonium phosphate (MAP),1.0
2008,Brunei Darussalam,Monoammonium phosphate (MAP),0.84
2012,Brunei Darussalam,Monoammonium phosphate (MAP),2.0
2014,Brunei Darussalam,Monoammonium phosphate (MAP),0.0
2015,Brunei Darussalam,Monoammonium phosphate (MAP),0.0
2003,Brunei Darussalam,NPK fertilizers,302.0
2004,Brunei Darussalam,NPK fertilizers,646.0
2005,Brunei Darussalam,NPK fertilizers,900.0
2006,Brunei Darussalam,NPK fertilizers,4.0
2007,Brunei Darussalam,NPK fertilizers,2209.0
2008,Brunei Darussalam,NPK fertilizers,613.28
2009,Brunei Darussalam,NPK fertilizers,790.0
2010,Brunei Darussalam,NPK fertilizers,3276.7
2012,Brunei Darussalam,NPK fertilizers,320.0
2013,Brunei Darussalam,NPK fertilizers,160.0
2014,Brunei Darussalam,NPK fertilizers,313.0
2015,Brunei Darussalam,NPK fertilizers,703.0
